date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2012-04-12,137.13,138.9,137.03,138.79,154321500,112.0197,1.31,144772824.55
2012-04-13,138.47,138.8168,137.01,137.14,169246594,110.6879,-1.19,144979233.95
2012-04-16,137.84,138.04,136.58,137.05,147825203,110.6153,-0.07,144725823.8
2012-04-17,137.84,139.36,137.698,139.082,147877594,112.2553,1.48,145855153.5
2012-04-18,138.46,139.08,138.38,138.61,123884203,111.8744,-0.34,145962883.55
2012-04-19,138.63,139.15,137.07,137.72,198666797,111.156,-0.64,149776803.5
2012-04-20,138.33,138.83,137.87,137.95,143199594,111.3417,0.17,150175948.05
2012-04-23,136.54,136.91,135.94,136.79,171844891,110.4054,-0.84,152742142.6
2012-04-24,136.91,137.66,136.8,137.31,137484188,110.8251,0.38,153608156.7
2012-04-25,138.65,139.25,138.53,139.19,150255016,112.3425,1.37,155127487.6
2012-04-26,138.89,140.32,138.81,140.16,136292703,113.1254,0.7,154514022.75
2012-04-27,140.58,140.79,139.8,140.39,130725000,113.311,0.16,152802093.05
2012-04-30,140.11,140.21,139.49,139.87,115092203,112.8913,-0.37,151782368.05
2012-05-01,139.79,141.66,139.63,140.74,138837297,113.5935,0.62,151137183.7
2012-05-02,139.92,140.46,139.46,140.325,121080898,113.2586,-0.29,149400898.9
2012-05-03,140.34,140.45,138.99,139.25,143762703,112.3909,-0.77,149244238.75
2012-05-04,138.515,139.3012,136.92,137.0,193931297,110.5749,-1.62,152068838.75
2012-05-07,136.51,137.56,136.46,137.1,127765906,110.6556,0.07,152079338.75
2012-05-08,136.28,136.77,134.92,136.55,213383906,110.2117,-0.4,150980519.2
2012-05-09,135.1,136.61,134.49,135.74,220778203,109.5579,-0.59,154312784.8
2012-05-10,136.68,136.85,135.71,136.02,150600891,109.7839,0.21,154126754.35
2012-05-11,135.17,136.87,135.11,135.61,153032406,109.453,-0.3,153316044.95
2012-05-14,134.31,135.6144,133.91,134.11,163909906,108.2423,-1.11,154120280.1
2012-05-15,134.02,134.81,133.13,133.34,207629297,107.6209,-0.57,157107865.25
2012-05-16,133.94,134.55,132.8,132.829,207265594,107.2084,-0.38,161276934.8
2012-05-17,132.86,133.02,130.79,130.86,247992891,105.6192,-1.48,163743239.5
2012-05-18,131.37,131.6,129.55,129.74,319631094,104.7153,-0.86,172564814.5
2012-05-21,130.16,132.02,129.95,131.97,177861109,106.5151,1.72,172865625.4
2012-05-22,132.31,133.23,131.34,132.2,197531109,106.7008,0.17,175867971.45
2012-05-23,131.25,132.46,129.99,132.27,204958297,106.7573,0.05,178603135.5
2012-05-24,132.63,132.84,131.42,132.53,167357594,106.9671,0.2,180156380.05
2012-05-25,132.48,132.85,131.78,132.1,135465594,106.62,-0.32,180393409.75
2012-05-29,133.16,133.93,131.17,133.7,152883391,107.9114,1.21,182282969.15
2012-05-30,132.56,133.6924,131.49,131.76,162370406,106.3456,-1.45,183459624.6
2012-05-31,131.71,132.45,130.34,131.47,196186203,106.1116,-0.22,187214889.85
2012-06-01,129.41,131.5042,128.16,128.16,253244984,103.44,-2.52,192689003.9
2012-06-04,128.39,128.74,127.135,128.1,202548297,103.3916,-0.05,193119853.9
2012-06-05,127.85,129.26,127.78,129.07,164149406,104.1745,0.76,194939028.9
2012-06-06,129.97,132.03,129.93,131.97,184202797,106.5151,2.25,193479973.45
2012-06-07,133.47,133.53,131.78,132.05,184772703,106.5797,0.06,191679698.45
2012-06-08,131.71,133.125,131.29,133.1,143915594,107.4272,0.8,191345433.6
2012-06-11,134.17,134.25,131.28,131.415,169756000,106.0672,-1.27,192181613.3
2012-06-12,131.79,133.01,131.16,132.92,181931703,107.2819,1.15,193082703.15
2012-06-13,132.53,133.36,131.62,132.07,172223906,106.5958,-0.64,191312433.6
2012-06-14,132.34,134.0,131.98,133.47,230616188,107.7258,1.06,192479963.3
2012-06-15,133.38,134.26,133.1,134.14,169444406,108.8277,1.02,188552539.05
